CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00000059|HALLMARK CARDS PAC|U|Q|UNK||C|HALLMARK CARDS INCORPORATED|64108|Kansas City|MO
C00000422|AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||M|AMERICAN MEDICAL ASSOCIATION|20001|WASHINGTON|DC
C00000489|D R I V E POLITICAL FUND, CHAPTER 886|U|Q|||L|TEAMSTERS LOCAL UNION 886|73107|OKLAHOMA CITY|OK
C00000547|KANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|U|Q|UNK||T|MEDICAL ASS'N; KANSAS          [AMPAC]|66612|TOPEKA|KS
C00000638|INDIANA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||M|Indiana State Medical Association|46202|Indianapolis|IN
C00000729|AMERICAN DENTAL POLITICAL ACTION CMTE.|U|Q|UNK||T|DENTAL ASS'N; AMERICAN|20005|Washington|DC
C00000794|LENT  & SCRIVNER PAC|U|Q|UNK||||22202|ARLINGTON|VA
C00000885|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMM|U|Q|UNK||L|International Union of Painters and Al|20006|Washington|DC
C00000901|BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS|U|Q|UNK||T|HOME BUILDERS; NAT'L ASS'N OF|20005|WASHINGTON|DC
C00000935|DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE|U|Y|DEM|||House Senate Victory Fund 2008|20003|Washington|DC
C00000984|UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC)|U|Q|UNK||T|United States Telecom Association|20005|Washington|DC
C00000992|BRANCH COUNTY REPUBLICAN COMMITTEE|U|Y|REP|||MICHIGAN REPUBLICAN PARTY|49036|COLDWATER|MI
C00001008|LOUISIANA STATE MEDICAL SOCIETY POLITICAL ACTION COMMITTEE (LAMPAC)|U|Q|||T|Louisiana State Medical Society|70808|Baton Rouge|LA
C00001016|CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS|U|Q|NNE||L|United Brotherhood of Carpenters & Joi|20001|Washington|DC
C00001156|MICHIGAN LEAGUE OF COMMUNITY BANKS POLITICAL ACTION COMMITTEE|U|Q|||T|MICHIGAN LEAGUE OF SAVINGS INSTITUTION|48823|EAST LANSING|MI
C00001180|MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY|U|Q|NNE||T|MICHIGAN STATE MEDICAL SOCIETY|48826|East Lansing|MI
C00001198|AMERICAN HOTEL AND LODGING ASSOCIATION PAC|U|Q|||T|HOTEL & MOTEL ASS'N; AMERICAN|20005|Washington|DC
C00001214|TEXAS MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|NNE||M|AMPAC|78701|Austin|TX
C00001305|REPUBLICAN PARTY OF VIRGINIA INC|U|Y|Rep|||2008 Senate-RNC Victory Committee|23219|RICHMOND|VA
C00001313|REPUBLICAN PARTY OF MINNESOTA|U|Y|REP|||Minnesota-Coleman Victory Committee|55103|ST PAUL|MN
C00001347|HAWAII MEDICAL POLITICAL ACTION COMMITTEE|U|Q|UNK||M|HAWAII MEDICAL ASSOCIATION|96814|HONOLULU|HI
C00001388|DAIRY FARMERS OF AMERICA INC DEPAC (DAIRY EDUCATION POLITICAL ACTION COMMITTEE)|U|Q|||V|DAIRY FARMERS OF AMERICA INC|64190|KANSAS CITY|MO
C00001420|MISSOURI MEDICAL POLITICAL ACTION COMMITTEE|U|Q|UNK||T|MISSOURI STATE MEDICAL ASSOCIATION|65102|Jefferson City|MO
C00001461|ALASKA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (ALPAC)|U|Q|||M|Alaska State Medical Association|99508|Anchorage|AK
C00001636|UNITED TRANSPORTATION UNION POLITICAL ACTION COMMITTEE (UTU PAC)|U|Q|||L|United Transportation Union|44107|Cleveland|OH
C00001685|GEORGIA MEDICAL POLITICAL ACTION COMMITTEE|U|Q|UNK||T|MEDICAL ASSOCIATION OF GEORGIA|30339|Atlanta|GA
C00001727|BUSINESS-INDUSTRY POLITICAL ACTION COMMITTEE|U|Q|UNK||M|NONE|20006|Washington|DC
C00001743|LOCAL 1814 INTERNATIONAL LONGSHOREMENS ASSOC AFL-CIO POLITICAL ACTION AND EDUCATION FUND|U|Q|||L|LOCAL 1814 ILA|11232|BROOKLYN|NY
C00001776|NEW MEXICO MEDICAL SOCIETY POLITICAL ACTION COMMITTEE (AKA NEMPAC)|U|Q|UNK||C|New Mexico Medical Society|87109|ALBUQUERQUE|NM
C00001818|WASHINGTON STATE MEDICAL ASSN POLITICAL ACTION CMTE|U|Q|UNK||T|MEDICAL ASS'N; WASHINGTON      [AMPAC]|98121|SEATTLE|WA
C00001875|AMERICA'S COMMUNITY BANKERS COMMUNITY CAMPAIGN COMMITTEE|U|Q|||T|Maryland Bankers Associaton Political|20006|Washington|DC
C00001917|WY DEMOCRATIC STATE CENTRAL COMMITTEE|U|Y|DEM|||WYOMING DEMOCRATIC PARTY|82602|Casper|WY
C00002089|COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE|U|Q|||L|Communications Workers of America|20001|Washington|DC
C00002147|NEBRASKA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||T|MEDICAL ASS'N; NEBRASKA        [AMPAC]|68508|Lincoln|NE
C00002238|NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC|U|Q|||T|National Council of Farmer Cooperative|20001|Washington|DC
C00002261|FEDERATION OF AMERICAN HOSPITALS PAC|U|Q|UNK||T|Federation of American Hospitals|20004|WASHINGTON|DC
C00002469|MACHINISTS NON PARTISAN POL LEAGUE OF THE INT'L ASSN OF MACHINISTS & AEROSPACE WORKERS|U|Q|NNE||L|International Association of Machinist|20772|Upper Marlboro|MD
C00002501|MARYLAND MEDICAL POLITICAL ACTION COMMITTEE|U|Q|UNK||T|MEDICAL ASS'N; MARYLAND        [AMPAC]|21201|BALTIMORE|MD
C00002592|COMMITTEE TO RE-ELECT TOM FOLEY|P|H||H6WA05023|||20003|WASHINGTON|DC
C00002600|JOHN D. DINGELL FOR CONGRESS|P|H|DEM|H6MI16034|||20005|Washington|DC
C00002766|UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB|U|Q|UNK||L|UNITED FOOD AND COMMERCIAL WORKERS INT|20006|WASHINGTON|DC
C00002790|OLIN CORPORATION GOOD GOVERNMENT FUND|U|Q|UNK||C|OLIN CORPORATION|62024|EAST ALTON|IL
C00002832|COMMITTEE FOR GOOD GOVERNMENT INTERNATIONAL UNION UAW|U|Q|||L|AUTO WORKERS; UNITED|48214|DETROIT|MI
C00002840|UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)|U|Q|UNK||L|AUTO WORKERS; UNITED|48214|DETROIT|MI
C00002881|TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.|U|Q|UNK||T|American Trucking Associations|20003|Washington|DC
C00002907|ARKANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|U|Q|UNK||M|ARKANSAS MEDICAL SOCIETY|72215|LITTLE ROCK|AR
C00002956|ASSOCIATION FOR THE ADVANCEMENT OF PSYCHOLOGY INC PSYCHOLOGISTS FOR LEG ACTION NOW (PLAN)|U|Q|||T|PSYCHOLOGY; ASS'N FOR THE ADVANCE. OF|80937|COLORADO SPRINGS|CO
C00002972|ACTION COMMITTEE. FOR RURAL ELECTRIFICATION. (ACRE) NATIONAL RURAL ELECTRIC COOPERATIVE|U|Q|||V|National Rural Electric Cooperative|22203|Arlington|VA
C00003061|NORTH DAKOTA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|UNK||M|MEDICAL ASS'N; NORTH DAKOTA    [AMPAC]|58502|BISMARCK|ND
C00003111|MAINE REPUBLICAN PARTY|U|Y|REP|||MAINE REPUBLICAN PARTY|04330|Augusta|ME
C00003152|NORTH CAROLINA MEDICAL SOCIETY FEDERAL POLITICAL EDUCATION AND ACTION COMMITTEE|U|Q|||M|North Carolina Medical Society|27611|Raleigh|NC
C00003160|POLITICAL EDUCATIONAL FUND OF THE BUILDING AND CONSTRUCTION TRADES DEPARTMENT AFL-CIO|U|Q|UNK||M|ALLIANCE FOR RETIRED AMERICANS POLITIC|20006|Washington|DC
C00003194|CALIFORNIA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE - FEDERAL|U|Q|UNK||C|California Medical Association|95814|Sacramento|CA
C00003210|UTAH MEDICAL PAC|U|Q|||T|MEDICAL ASS'N; UTAH            [AMPAC]|84107|SALT LAKE CITY|UT
C00003251|NEA FUND FOR CHILDREN AND PUBLIC EDUCATION|U|Q|UNK||L|National Education Association|20036|Washington|DC
C00003327|OHIO STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (OSMAPAC)|U|Q|||M|Ohio State Medical Association Politic|43026|Hilliard|OH
C00003418|REPUBLICAN NATIONAL COMMITTEE|U|Y|REP|||McCain Victory Committee|20003|WASHINGTON|DC
C00003558|NATIONAL COMMITTEE FOR AN EFFECTIVE CONGRESS|U|Q|NNE||M|NONE|20001|WASHINGTON|DC
C00003590|UNITED STEELWORKERS POLITICAL ACTION FUND|U|Q|NNE||L|UNITED STEELWORKERS|15222|Pittsburgh|PA
C00003632|INTL. UNION OF BRICKLAYERS & ALLIED CRAFTWORKERS|U|Q|UNK||L|BRICKLAYERS & ALLIED CRAFTSMEN|20004|Washington|DC
C00003756|FOOD PRODUCTS ASSOCIATION POLITICAL ACTION COMMITTEE (FPA-PAC)|U|Q|UNK||T|None|20005|WASHINGTON|DC
C00003764|NATIONAL RESTAURANT ASSOCIATION PAC|U|Q|UNK||M|National Restaurant Association|20036|Washington|DC
C00003806|AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE|U|Q|UNK||L|AFL-CIO|20006|Washington|DC
C00003855|NATIONAL CONFECTIONEERS ASSOCIATION OF THE UNITED STATES INC POLITICAL ACTION COMMITTEE|U|Q|||T|CONFECTIONERS ASS'N OF U S INC; NAT'L|22182|VIENNA|VA
C00003863|MARINE ENGINEERS BENEFICIAL ASOCIATION - RETIREES' GROUP FUND|U|Q|UNK||L|District No.1 PCD-MEBA|20001|Washington|DC
C00003897|6TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE OF VIRGINIA|U|Y|DEM|||VIRGINIA DEMOCRATIC PARTY|24450|LEXINGTON|VA
C00003970|IOWA MEDICAL POLITICAL ACTION COMMITTEE|U|Q|||T|IOWA MEDICAL SOCIETY|50265|West Des Moines|IA
C00003988|NEBRASKA DEMOCRATIC STATE CENTRAL COMMITTEE|U|Y|DEM|||NEBRASKA DEMOCRATIC PARTY|68508|LINCOLN|NE
C00004036|SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION (SEIU COPE)|U|Q|||L|Service Employees International Union|20036|Washington|DC
C00004101|NATIONAL UTILITY CONTRACTORS ASSOCIATION LEGISLATIVE INFORMATION AND ACTION COMMITTEE|U|Q|UNK||M|National Utility Contractors Associati|22203|Arlington|VA
C00004275|AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)|U|Q|NNE||T|American Bankers Association|20036|Washington|DC
C00004325|SEAFARERS POLITICAL ACTIVITY DONATION-SEAFARERS INTERNATIONAL UNION OF N.A.-AGLIWD/NMU|U|Q|||L|POLITICAL AND LEGISLATIVE ORGANIZATION|20746|Camp Springs|MD
C00004440|TEAMSTERS LOCAL 745 DRIVE|U|Q|||L|Teamsters Local No. 745|75217|DALLAS|TX
C00004473|NAT'L TELECOMMUNICATIONS COOPERATIVE ASSN./TELECOMMUNICATIONS EDUCATION COMMITTEE ORG.|U|Q|||T|Nat'l Telecommunications Cooperative A|22203|Arlington|VA
C00004499|ARIZONA MEDICAL ASSOCIATION INC POLICAL ACTION COMMITTEE|U|Q|UNK||T|MEDICAL ASS'N; ARIZONA         [AMPAC]|85013|Phoenix|AZ
C00004606|KANSAS REPUBLICAN PARTY - FEDERAL|U|Y|REP|||None|66604|Topeka|KS
C00004812|MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|UNK||T|Mortgage Bankers Association|20005|Washington|DC
C00004861|UNITE HERE TIP CAMPAIGN COMMITTEE|U|Q|||L|UNITE HERE|10001|New York|NY
C00004879|BUSPAC-POLITICAL ACTION COMMITTEE OF THE AMERICAN BUS ASSOCIATION|U|Q|UNK||T|BUS ASS'N; AMERICAN|20005|Washington|DC
C00004911|ALABAMA MEDICAL PAC CONNECTED WITH THE MEDICAL ASSOCIATION OF THE STATE OF ALABAMA|U|Q|UNK||M|Medical Association of the State of Al|36101|MONTGOMERY|AL
C00004929|PENNSYLVANIA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE FEDERAL|U|Q|UNK||M|AMERICAN MEDICAL POLITICAL ACTION COMM|17105|HARRISBURG|PA
C00004952|ELECTRIC POWER ASSOCIATIONS OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION|U|Q|UNK||C|Electric Power Associations of MS|39158|Ridgeland|MS
C00004960|BURLINGTON RESOURCES INC. PAC (BRPAC)|U|Q|UNK||C|ConocoPhillips|77079|HOUSTON|TX
C00004994|PROFESSIONAL INSURANCE AGENTS POLITICAL ACTION COMMITTEE|U|Q|NNE||T|National Association of Professional I|22314|Alexandria|VA
C00005041|REGULA FOR CONGRESS COMMITTEE|P|H|REP|H6OH16029|||22314|Alexandria|VA
C00005132|SOUTH DAKOTA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (SDSMAPAC)|U|Q|UNK||M|South Dakota State Medical Association|57105|Sioux Falls|SD
C00005157|INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND|U|Q|||L|International Brotherhood of Boilermak|66101|Kansas City|KS
C00005173|STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA|U|Y|DEM|||ASDC Partnership Program|36101|Montgomery|AL
C00005249|NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMMITTEE|U|Q|UNK||T|National Association of Insurance & Fi|22042|Falls Church|VA
C00005462|10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE|U|Y|REP|||Republican Party of Virginia|20198|The Plains|VA
C00005488|ILLINOIS STATE MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|U|Q|UNK||T|Illinois State Medical Society.|60602|Chicago|IL
C00005561|DEMOCRATIC EXECUTIVE COMMITTEE OF FLORIDA|U|Y|DEM|||Committee For Change|32301|Tallahassee|FL
C00005660|AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS POLITICAL ACTION COMMITTEE|U|Q|UNK||M|American Association of Oral and Maxil|60018|Rosemont|IL
C00005751|CALIFORNIA DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE - FEDERAL FUND|U|Q|UNK||T|CALIFORNIA DENTAL ASSOCIATION|95814|SACRAMENTO|CA
C00005785|WYOMING REPUBLICAN PARTY, INC.|U|Y|REP||||82601|Casper|WY
C00005801|6TH DISTRICT REPUBLICAN COMMITTEE|U|Y|REP|||REPUBLICAN PARTY OF VIRGINIA|24018|ROANOKE|VA
C00005835|INTERNATIONAL CHEMICAL WORKERS UNION LABOR'S INVESTMENT IN VOTER EDUCATION|U|Q|||L|CHEMICAL WORKERS UNION; INT'L|44313|AKRON|OH
C00005926|ILLINOIS REPUBLICAN PARTY|U|Y|REP|||McSweeney-Illinois Victory Committee|60664|Chicago|IL
C00006080|AMERICAN HEALTH CARE ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|CIT||M|American Health Care Association|20005|Washington|DC
C00006486|INDIANA REPUBLICAN STATE COMMITTEE INC.|U|Y|REP|||Indiana Ninth District Victory Committ|46204|INDIANAPOLIS|IN
C00007070|TEXAS INSTRUMENTS INCORPORATED POLITICAL ACTION COMMITTEE (TI PAC)|U|Q|||C|TEXAS INSTRUMENTS INCORPORATED|75374|DALLAS|TX
C00007450|AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC)|U|Q|||T|GAS ASS'N; AMERICAN|20001|Washington|DC
C00007542|SHEET METAL WORKERS' INTERNATIONAL ASSOCIATION POLITICAL ACTION LEAGUE|U|Q|||L|-|20006|Washington|DC
C00007658|DEMOCRATIC PARTY OF SOUTH CAROLINA|U|Y|DEM|||DNC Services Corp.|29250|Columbia|SC
C00007849|SPEAK UP FOR RURAL ELECTRIFICATION (SURE)|U|Q|||M|ACRE (AFF)|40232|LOUISVILLE|KY
C00007880|CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION|U|Q|||T|Credit Union National Association|20004|Washington|DC
C00007898|OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION - VOICE OF THE ELECTORATE|U|Q|UNK||L|EMPLOYEES INT'L UNION; OFFICE & PROF.|20036|Washington|DC
C00007922|LABORERS' POLITICAL LEAGUE-LABORERS' INTERNATIONAL UNION OF N.A.|U|Q|UNK||L|Laborers' International Union of North|20006|Washington|DC
C00007948|WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE|U|Q|||C|Weyerhaeuser Company|48275|Detroit|MI
C00008078|OHIO D.R.I.V.E. (DEMOCRATIC  REPUBLICAN INDEPENDENT VOTER EDUCATION)  - TEAMSTERS JC #41|U|Q|||L|TEAMSTERS JC #41|44125|VALLEY VIEW|OH
C00008086|MONTANA REPUBLICAN STATE CENTRAL COMMITTEE|U|Y|REP|||Burns Victory Committee|59624|Helena|MT
C00008110|DEMOCRATIC PARTY OF THE SECOND CONGRESSIONAL DISTRICT OF WISCONSIN|U|Y|DEM|||DEMOCRATIC PARTY OF WISCONSIN|53701|MADISON|WI
C00008151|FIRST HORIZON NATIONAL CORPORATION FEDERAL PAC|U|Q|||C|FIRST HORIZON NATIONAL CORPORATION|38103|MEMPHIS|TN
C00008169|ACTION COMMITTEE FOR RURAL ELECTRIFICATION/MISSOURI COOPERATIVES (FKA MISSOURI ACRE)|U|Q|||V|Association of Missouri Electric Coope|65101|JEFFERSON CITY|MO
C00008201|FRIENDS OF JOHN CONYERS|A|H|DEM|H6MI01028|||20003|Washington|DC
C00008227|ARIZONA REPUBLICAN PARTY|U|Y|REP|||2004 Joint State Victory Committee|85016|Phoenix|AZ
C00008235|SCHROEDER FOR CONGRESS COMMITTEE, INC|P|H||H6CO01034|||80205|DENVER|CO
C00008268|TRANSPORT WORKERS UNION POLITICAL CONTRIBUTIONS COMMITTEE|U|Q|||L|Transport Workers Union of America|10019|New York|NY
C00008409|INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL #302 VOLUNTARY POLITICAL FUND|U|Q|UNK||L|ENGINEERS; INT'L UNION OF OPERATING|98011|BOTHELL|WA
C00008474|CITIGROUP INC. POLITICAL ACTION COMMITTEE-FEDERAL (CITIGROUP PAC-FEDERAL)|U|Q|||C|Citigroup Inc.|20004|Washington|DC
C00008664|MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL|U|Y|REP|||7th District Congressional Republican|65101|Jefferson City|MO
C00008748|SEMPRA ENERGY EMPLOYEES POLITICAL ACTION COMMITTEE- FEDERAL|U|Q|NNE||C|Sempra Energy|92101|San Diego|CA
C00008755|REPUBLICAN PARTY OF THE SIXTH CONGRESSIONAL DISTRICT OF WISCONSIN|U|Y|REP|||REPUBLICAN PARTY OF WISCONSIN|54902|OSHKOSH|WI
C00008839|AMERICAN PODIATRIC MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||T|American Podiatric Medical Association|20814|Bethesda|MD
C00008896|"OPEIU LOCAL 153 ""VOTE"" (VOICE OF THE ELECTORATE) COMMITTEE"|U|Q|||L|EMPLOYEES INT'L UNION; OFFICE & PROF.|10011|NEW YORK|NY
C00009035|KEMPER INSURANCE CAMPAIGN FUND|U|Q|UNK||C|KEMPER INSURANCE COMPANIES|60049|Long Grove|IL
C00009282|NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND|U|Q|UNK||C|Norfolk Southern Corporation|23510|Norfolk|VA
C00009357|RECORDING INDUSTRY ASSOCIATION OF AMERICA POLITICAL ACTION COMMITTEE, THE|U|Q|||T|The Recording Industry Association of|20004|Washington|DC
C00009423|LAND O'LAKES INC/AGRILIANCE LLC PAC (LOL PAC) FKA LAND O'LAKE INC PAC|U|Q|||V|Land O'Lakes|55164|ST PAUL|MN
C00009456|3RD CONGRESSIONAL DISTRICT DEMOCRATIC PARTY OF WISCONSIN|U|Y|dem|||3RD CONGRESSIONAL DISTRICT DEMOCRATIC|54601|LA CROSSE|WI
C00009597|NATIONAL COUNCIL OF COAL LESSORS INC PAC|U|Q|||T|COAL LESSORS INC; NAT'L COUNCIL OF|20001|Washington|DC
C00009639|SUNTRUST BANK GOOD GOVERNMENT GROUP - GEORGIA|U|Q|NNE||C|SunTrust Bank (connected), Tennessee,|30303|Atlanta|GA
C00009704|CONSERVATIVE VICTORY FUND|U|Q|CRV||M|NONE|20003|WASHINGTON|DC
C00009795|GREATER WASHINGTON BOARD OF TRADE FEDERAL PAC|U|Q|||M|The Greater Washington Board of Trade|20006|Washington|DC
C00009845|MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE|U|Y|DEM|||SAME|20895|Kensington|MD
C00009936|AMERICAN FEDERATION OF GOVT. EMPL. POLITICAL ACTION COMMITTEE|U|Q|UNK||L|American Federation of Gov't Employees|20001|Washington|DC
C00009985|NATIONAL ASSOCIATION OF BROADCASTERS POLITICAL ACTION COMMITTEE (NABPAC)|U|Q|UNK||T|National Association of Broadcasters|20036|Washington|DC
C00010033|MONTANA DEMOCRATIC PARTY|U|Y|DEM|||Big Sky Victory Fund|59624|Helena|MT
C00010082|NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION POLITICAL ACTION COMMITTEE (NCTA PAC)|U|Q|||T|National Cable & Telecommunications As|20001|Washington|DC
C00010124|ASSOCIATED EQUIPMENT DISTRIBUTORS POLITICAL ACTION COMMITTEE|U|Q|UNK||T|Associated Equipment Distributors|22314|Alexandria|VA
C00010223|TEAMSTERS JOINT COUNCIL #10 DRIVE|U|Q|||L|TEAMSTERS; INT'L BROTHERHOOD OF|02129|BOSTON|MA
C00010322|AMERICAN POSTAL WORKERS UNION COMMITTEE ON POLITICAL ACTION|U|Q|||L|POSTAL WORKERS UNION; AMERICAN|20005|Washington|DC
C00010363|CONSERVATIVE LEADERSHIP POLITICAL ACTION COMMITTEE|U|Q|||M|BLANK|22201|Arlington|VA
C00010421|ASSOCIATED BUILDERS AND CONTRACTORS, PAC|U|Q|UNK||T|Associated Builders & Contractors|22203|Arlington|VA
C00010439|IDAHO STATE DEMOCRATIC PARTY|U|Y|DEM|||ASDC Partnership Program (Affinity Car|83701|Boise|ID
C00010470|UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT|U|Q|UNK||C|Union Pacific Corporation|20005|Washington|DC
C00010488|WOMEN FOR:|U|Q|||M|NONE|90211|BEVERLY HILLS|CA
C00010520|MEREDITH CORPORATION EMPLOYEES FUND FOR BETTER GOVERNMENT|U|Q|NNE||C|MEREDITH CORPORATION|50309|DES MOINES|IA
C00010561|KANSAS ACTION COMMITTEE FOR RURAL ELECTRIFICATION/KANSAS ELECTRIC COOPERATIVES INC|U|Q|||T|ELECTRIC COOP. ASS'N; NAT'L RURAL|67864|MEADE|KS
C00010603|DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE|U|Y|DEM|||DEMOCRATIC WHITE HOUSE VICTORY FUND|20003|WASHINGTON|DC
C00010710|NORTH CAROLINA ASSOCIATION OF ELECTRIC COOPERATIVES INC, RURAL ELECTRIC ACTION PROGRAM|U|Q|NNE||T|NC ASSOC OF ELECTRIC COOPERATIVES,INC|27611|Raleigh|NC
C00010793|LOOSE GROUP, THE|U|Q|||M|NONE|30357|Atlanta|GA
C00010868|AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC)|U|Q|UNK||T|American Council of Engineering Compan|20005|Washington|DC
C00010876|TEAMSTERS LOCAL #115 POLITICAL ACTION FUND (AKA DRIVE-LOCAL NO. 115)|U|Q|||L|Teamsters Union Local No. 115|19149|PHILADELPHIA|PA
C00010983|JOHNSON & JOHNSON POLITICAL ACTION COMMITTEE|U|Q|||C|Johnson & Johnson|08933|New Brunswick|NJ
C00011114|AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E|U|Q|UNK||L|AMERICAN FEDERATION OF STATE COUNTY &|20036|WASHINGTON|DC
C00011189|GLASS MOLDERS POTTERY PLASTICS & ALLIED WORKERS INTERNATIONAL UNION - POLITICAL ED LEAG|U|Q|||L|GLASS MOLDERS POTTERY...; INT'L UNION|19063|MEDIA|PA
C00011197|KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE|U|Y|DEM|||DC Partnership Program|40602|Frankfort|KY
C00011221|SAPEC-NJ NEW JERSEY LEAGUE OF COMMUNITY BANKERS|U|Q|||T|American Bankers Association BankPac|07016|Cranford|NJ
C00011239|ROCHESTER REGIONAL JOIN BOARD UNITE HERE POLITICAL EDUCATION COMMITTEE|U|Q|||L|UNITE HERE TIP CAMPAIGN COMMITTEE|14607|ROCHESTER|NY
C00011262|BROTHERHOOD OF RAILROAD SIGNALMEN POLITICAL ACTION COMMITTEE|U|Q|UNK||L|RAILROAD SIGNALMEN; BROTHERHOOD OF|22630|Front Royal|VA
C00011338|SAILORS' POLITICAL FUND (FKA) SAILORS' UNION OF THE PACIFIC POLITICAL FUND, DON|U|Q|||L|SEAFARERS INT'L UNION OF NORTH AMERICA|94105|SAN FRANCISCO|CA
C00011387|COLORADO ADVOCATES FOR RURAL ELECTRIFICATION (CARE) COLORADO RURAL ELECTRIC ASSOCIATION|U|Q|UNK||T|COLORADO RURAL ELECTRIC ASSOCIATION|80216|DENVER|CO
C00011544|OHIO DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||T|OHIO DENTAL ASSOCIATION|43215|COLUMBUS|OH
C00011627|MINNESOTA BANKERS POLITICAL ACTION COMMITTEE|U|Q|||T|BANKERS ASS'N; AMERICAN|55103|ST PAUL|MN
C00011643|REPUBLICAN CENTRAL COMMITTEE OF IMPERIAL COUNTY AKA IMPERIAL COUNTY REPUBLICAN PARTY|U|Y|REP|||CALIFORNIA REPUBLICAN PARTY|92243|EL CENTRO|CA
C00011767|PAC INTERNATIONAL UNION SECURITY POLICE FIRE PROFESSIONALS OF AMERICA (SPFPA)|U|Q|UNK||L|PLANT GUARD WORKERS INT'L UNION|48066|Roseville|MI
C00012211|NORTH CAROLINA DENTAL PAC|U|Q|||M|NORTH CAROLINA DENTAL SOCIETY|27519|CARY|NC
C00012229|ALASKANS FOR DON YOUNG INC.|P|H|REP|H6AK00045||Alaska 2008|99503|Anchorage|AK
C00012245|UBS AMERICAS FUND FOR BETTER GOVERNMENT|U|Q|||C|UBS Americas Inc.|06901|STAMFORD|CT
C00012310|BLACK & VEATCH GOOD GOVERNMENT FUND|U|Q|UNK||C|Black & Veatch Holding Company|64114|Kansas City|MO
