CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_LAT|CMTE_LONG|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00000059|HALLMARK CARDS PAC|U|Q|UNK||C||39.095393654320986|-94.49784748148147|64108|KANSAS CITY|MO
C00000422|AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|||M|AMERICAN MEDICAL ASSOCIATION|38.89531540217391|-77.01958254710144|20001|WASHINGTON|DC
C00000489|D R I V E POLITICAL FUND CHAPTER 886|U|N|||L|TEAMSTERS LOCAL UNION 886|35.505733112499996|-97.47160356250001|73107|OKLAHOMA CITY|OK
C00000547|KANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|U|Q|UNK||T|MEDICAL ASS'N; KANSAS          [AMPAC]|39.041098899999994|-95.74326307499999|66612|TOPEKA|KS
C00000638|INDIANA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||M|INDIANA STATE MEDICAL ASSOCIATION|39.797402600000005|-86.1365729|46202|INDIANAPOLIS|IN
C00000729|AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|UNK||M|AMERICAN DENTAL ASSOCIATION|38.89531540217391|-77.01958254710144|20005|WASHINGTON|DC
C00000885|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMM|B|Q|UNK||L|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES|39.0709555|-76.656001|21076|HANOVER|MD
C00000901|BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC)|B|Q|UNK||T|NATIONAL ASSOCIATION OF HOME BUILDERS|38.89531540217391|-77.01958254710144|20005|WASHINGTON|DC
C00000935|DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE|U|Y|DEM|||NANCY PELOSI VICTORY FUND|38.89531540217391|-77.01958254710144|20003|WASHINGTON|DC
C00000984|UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC)|B|Q|UNK||T|UNITED STATES TELECOM ASSOCIATION|38.89531540217391|-77.01958254710144|20005|WASHINGTON|DC
C00000992|BRANCH COUNTY REPUBLICANS|U|Y|REP||||41.912776|-85.0142|49036|COLDWATER|MI
C00001008|LOUISIANA STATE MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|U|Q|||M||30.475762928571427|-91.10245178571428|70808|BATON ROUGE|LA
C00001016|CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS|B|Q|NNE||L|UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA|38.89531540217391|-77.01958254710144|20001|WASHINGTON|DC
C00001180|MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY|U|Q|NNE||T|MICHIGAN STATE MEDICAL SOCIETY|42.6991935|-84.4468445|48826|EAST LANSING|MI
C00001198|AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC')|B|Q|||T|AMERICAN HOTEL & LODGING ASSOCIATION|38.89531540217391|-77.01958254710144|20005|WASHINGTON|DC
C00001214|TEXAS MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|NNE||T|AMPAC|30.319931120481932|-97.75807027710842|78701|AUSTIN|TX
C00001305|REPUBLICAN PARTY OF VIRGINIA INC|U|Y|REP|||2008 SENATE-RNC VICTORY COMMITTEE|37.53787187272727|-77.48557634545455|23219|RICHMOND|VA
C00001313|REPUBLICAN PARTY OF MINNESOTA|U|Y|REP|||NONE|44.97092558823529|-93.10272325490196|55103|SAINT PAUL|MN
C00001347|HAWAII MEDICAL POLITICAL ACTION COMMITTEE|U|Q|UNK||M|HAWAII MEDICAL ASSOCIATION|23.99200566666667|-165.5305597777778|96814|HONOLULU|HI
C00001388|DAIRY FARMERS OF AMERICA, INC. - DEPAC (DAIRY EDUCATIONAL POLITICAL ACTION COMMITTEE)|B|Q|||V|DAIRY FARMERS OF AMERICA, INC.|39.095393654320986|-94.49784748148147|64190|KANSAS CITY|MO
C00001461|ALASKA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (ALPAC)|U|Q|||M|ALASKA STATE MEDICAL ASSOCIATION|61.15772075|-149.747957125|99508|ANCHORAGE|AK
C00001636|UNITED TRANSPORTATION UNION POLITICAL ACTION COMMITTEE (UTU PAC)|B|Q|||L|UNITED TRANSPORTATION UNION|41.415097|-81.91436|44070|NORTH OLMSTED|OH
C00001727|BUSINESS-INDUSTRY POLITICAL ACTION COMMITTEE|U|W|UNK||M||38.89531540217391|-77.01958254710144|20006|WASHINGTON|DC
C00001743|LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND|U|Q|||L|LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND|40.65091198076924|-73.95300596153847|11232|BROOKLYN|NY
C00001776|NEW MEXICO MEDICAL SOCIETY POLITICAL ACTION COMMITTEE (AKA NEMPAC)|U|Q|UNK||C|NEW MEXICO MEDICAL SOCIETY POLITICAL ACTION COMMITTEE (AKA NEMPAC)|35.07455360000001|-106.63356884444445|87107|ALBUQUERQUE|NM
C00001917|WY DEMOCRATIC STATE CENTRAL COMMITTEE|U|Y|DEM|||DSP JOINT VICTORY FUND|41.255931875|-104.72717425|82001|CHEYENNE|WY
C00002089|COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE|B|Q|||L|COMMUNICATIONS WORKERS OF AMERICA|38.89531540217391|-77.01958254710144|20001|WASHINGTON|DC
C00002147|NEBRASKA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|||M|NEBRASKA MEDICAL ASSOCIATION|40.81781506666667|-96.69156293333332|68508|LINCOLN|NE
C00002238|NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC|U|Q|||T|NATIONAL COUNCIL OF FARMER COOPERATIVES|38.89531540217391|-77.01958254710144|20001|WASHINGTON|DC
C00002261|FEDERATION OF AMERICAN HOSPITALS PAC|B|Q|UNK||T|FEDERATION OF AMERICAN HOSPITAL|38.89531540217391|-77.01958254710144|20001|WASHINGTON|DC
C00002469|MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS|B|Q|NNE||L|INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS|38.83796575|-76.835834|20772|UPPER MARLBORO|MD
C00002592|COMMITTEE TO REELECT TOM FOLEY|P|H|DEM|H6WA05023|||38.89531540217391|-77.01958254710144|20003|WASHINGTON|DC
C00002600|JOHN D. DINGELL FOR CONGRESS|P|H|DEM|H6MI16034||NONE|38.89531540217391|-77.01958254710144|20005|WASHINGTON|DC
C00002766|UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB|B|Q|UNK||L|UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION|38.89531540217391|-77.01958254710144|20006|WASHINGTON|DC
C00002790|OLIN CORPORATION GOOD GOVERNMENT FUND|U|Q|UNK||C|OLIN CORPORATION|38.868136|-90.08023|62024|EAST ALTON|IL
C00002832|COMMITTEE FOR GOOD GOVERNMENT INTERNATIONAL UNION UAW|B|Q|||L|INTERNATIONAL UNION, UAW|42.30390803846153|-83.1278015|48214|DETROIT|MI
C00002840|UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)|B|Q|UNK||L|INT'L UNION UNITED AUTOMOBILE AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA UAW|42.30390803846153|-83.1278015|48214|DETROIT|MI
C00002881|TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.|B|Q|UNK||T|AMERICAN TRUCKING ASSOCIATIONS INC.|38.89531540217391|-77.01958254710144|20003|WASHINGTON|DC
C00002907|ARKANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|U|Q|UNK||T||34.757797833333335|-92.34247691666667|72215|LITTLE ROCK|AR
C00002956|ASSOCIATION FOR THE ADVANCEMENT OF PSYCHOLOGY INC PSYCHOLOGISTS FOR LEG ACTION NOW (PLAN)|U|Q|||T||38.839994|-104.67319639215685|80937|COLORADO SPRINGS|CO
C00002972|ACTION COMMITTEE FOR RURAL ELECTRIFICATION. (ACRE) NATIONAL RURAL ELECTRIC COOPERATIVE|B|Q|||T|NATIONAL RURAL ELECTRIC COOPERATIVE|38.87518503125|-77.09935687500001|22203|ARLINGTON|VA
